影片名;导演;主演;影片类型;评分;评分人数;短评数
少年派的奇幻漂流 Life of Pi;李安;苏拉·沙玛,伊尔凡·可汗,拉菲·斯波,阿迪勒·侯赛因,塔布,阿尤什·坦东,加塔姆·贝鲁尔,阿彦·汗,穆德·阿巴斯·卡勒里,维比什·希瓦库玛,热拉尔·德帕迪约,詹姆斯·塞托,俊·奈托,安德里亚·迪·斯戴法诺,沙拉万提·塞纳特,王柏杰,柯一正,黄健玮;剧情,奇幻,冒险;9.1;1231106;288755
奇异博士 Doctor Strange;斯科特·德瑞克森;本尼迪克特·康伯巴奇,蒂尔达·斯文顿,麦斯·米科尔森,切瓦特·埃加福,瑞秋·麦克亚当斯,迈克尔·斯图巴,本尼迪克特·王,本杰明·布拉特,斯科特·阿金斯,莎拉·费希恩,阿拉·萨菲;动作,奇幻,冒险;7.6;536344;140551
复仇者联盟2：奥创纪元 Avengers: Age of Ultron;乔斯·韦登;小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁弗洛,克里斯·埃文斯,斯嘉丽·约翰逊,杰瑞米·雷纳,詹姆斯·斯派德,塞缪尔·杰克逊,唐·钱德尔,亚伦·泰勒-约翰逊,伊丽莎白·奥尔森,保罗·贝坦尼,寇碧·史莫德斯,安东尼·麦凯,海莉·阿特维尔,伊德里斯·艾尔巴,斯特兰·斯卡斯加德,金秀贤,托马斯·克莱舒曼,安迪·瑟金斯,朱莉·德尔佩,斯坦·李,亨利·古德曼,多米尼克·普罗沃斯特-切克利,艾萨克·安德鲁斯;动作,科幻,奇幻,冒险;7.5;469697;101136
活着;张艺谋;葛优,巩俐,姜武,牛犇,郭涛,张璐,倪大红,肖聪,董飞,刘天池,董立范,黄宗洛,刘燕瑾,李连义,杨同顺;剧情,家庭,历史;9.3;738294;158815
我的姐姐;殷若昕;张子枫,肖央,朱媛媛,段博文,梁靖康,金遥源,王圣迪,孙嘉灵,陈永胜,朴松日;剧情,家庭;6.9;342942;144368
动物世界;韩延;李易峰,迈克尔·道格拉斯,周冬雨,曹炳琨,王戈,苏可;剧情,动作,冒险;7.2;513921;176653
蝴蝶效应 The Butterfly Effect;埃里克·布雷斯,J·麦基·格鲁伯;阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,埃尔登·汉森,威廉姆·李·斯科特,约翰·帕特里克·阿梅多利,艾琳·戈洛瓦娅,凯文·G·施密特,杰西·詹姆斯,罗根·勒曼,莎拉·威多斯,杰克·凯斯,卡梅隆·布莱特,埃里克·斯托尔兹,考乐姆·吉斯·雷尼,凯文·杜兰;剧情,科幻,悬疑,惊悚;8.8;839875;154175
消失的爱人 Gone Girl;大卫·芬奇;本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,凯莉·库恩,泰勒·派瑞,金·迪肯斯,米西·派勒,波伊德·霍布鲁克,艾米丽·拉塔科斯基,雪拉·渥德,派屈克·福吉特,斯科特·麦克纳里,凯西·威尔逊,李·诺里斯;剧情,悬疑,惊悚,犯罪;8.7;826443;220806
倩女幽魂;程小东;张国荣,王祖贤,午马,刘兆铭,林威,薛芷伦,胡大为,王晶;爱情,奇幻,武侠,古装;8.8;659858;100356
傲慢与偏见 Pride & Prejudice;乔·赖特;凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰,布兰达·布莱斯,凯瑞·穆里根,裴淳华,吉娜·马隆,妲露拉·莱莉,朱迪·丹奇,西蒙·伍兹,克劳迪·布莱克利,汤姆·霍兰德,鲁伯特·弗兰德,凯利·蕾莉,皮普·托伦斯,西妮德·马修斯,佩内洛普·威尔顿,塔姆金·莫钦特;剧情,爱情;8.7;706765;153850
驯龙高手 How to Train Your Dragon;迪恩·德布洛斯,克里斯·桑德斯;杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森,亚美莉卡·费雷拉,乔纳·希尔,克里斯托夫·梅兹-普莱瑟,T·J·米勒,克里斯汀·韦格,罗宾·阿特金·唐斯,菲利普·麦格雷德,基隆·埃利奥特,阿什利·詹森,大卫·田纳特;动画,奇幻,冒险;8.7;682144;112601
神奇动物在哪里 Fantastic Beasts and Where to Find Them;大卫·叶茨;埃迪·雷德梅恩,凯瑟琳·沃特斯顿,丹·福勒,艾莉森·萨多尔,科林·法瑞尔,埃兹拉·米勒,朗·普尔曼,强·沃特,萨曼莎·莫顿,嘉玛·陈,卡门·艾乔戈,克里斯汀·马扎诺,詹·穆瑞,约翰尼·德普;剧情,奇幻,冒险;7.7;561071;150317
飞驰人生;韩寒;沈腾,黄景瑜,尹正,张本煜,尹昉,田雨,魏翔,赵文瑄,腾格尔,易小星,李庆誉,高华阳,刘帅良,李玲玉,何穗,潘晓婷,田原,李春嫒,冯绍峰;喜剧;6.9;840176;262431
姜子牙;程腾,李炜;郑希,杨凝,图特哈蒙,阎么么,季冠霖,姜广涛;剧情,动画,奇幻;6.6;563333;240623
夺冠;陈可辛;巩俐,黄渤,吴刚,彭昱畅,白浪,朱婷,徐云丽,张常宁,姚迪,林莉,刘晓彤,颜妮,惠若琪,丁霞,袁心玥,龚翔宇,李现,刘敏涛,陈展,罗慧,毛雯,李紫微,李冬徐,马雪纯,刘畅,刘贞宏,凌敏,李阳一,刘晨曦;剧情,运动;7.1;398547;138554
蜘蛛侠：英雄归来 Spider-Man: Homecoming;乔·沃茨;汤姆·赫兰德,小罗伯特·唐尼,玛丽莎·托梅,迈克尔·基顿,雅各布·巴特朗,托尼·雷沃罗利,赞达亚,乔恩·费儒,亚伯拉罕·阿塔哈,劳拉·哈里尔,迈克尔·巴尔别里,罗根·马歇尔-格林,马丁·斯塔尔,唐纳德·格洛弗,汉尼拔·布勒斯,迈克尔·曼多,博基姆·伍德拜因,肯尼斯·崔,詹妮弗·康纳利,格温妮斯·帕特洛,克里斯·埃文斯;动作,科幻,冒险;7.3;402427;106367
俗女养成记 俗女養成記;严艺文,陈长纶;谢盈萱,温升豪,吴以涵,蓝苇华,夏靖庭,杨丽音,陈竹昇,于子育,吴慷仁,朱宥丞,陈家逵,阙铭佑,宋伟恩,杨宸宥,罗北安,吕曼茵,王宥谦,吴欣芸,凃建豪,林瑜静,林芷薰,范瑞君,吴允瀚,李承芸,金美满,余彦宸,张哲龙,徐丽雯,梅若颖,赖佩莹,凯尔,水毓棠,王辂钧,邱子琪,许雅雯,吴懿净,王怡雯,林佩霓,曾珮瑜,廖怡裬,吴怡然,严艺文,谢琼煖,王琄,黄舒湄,卢妍蓉,黄浩咏,郑伃庭,刘香君,蔡凯瑞,张诗盈,王镜冠,黄迪扬,张凯尧,黄淑霞,许文译,王诗淳,许佳明,黄馨萱,卢志杰,叶天伦,韦以丞,江鹅,邓安宁,徐誉庭;剧情,喜剧;9.2;136777;52625
血战钢锯岭 Hacksaw Ridge;梅尔·吉布森;安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩,雨果·维文,卢克·布雷西,泰莉莎·帕尔墨,瑞切尔·格里菲斯,内森奈尔·布佐里克,理查德·劳斯伯格,马特·纳夫莱,费拉斯·迪拉尼,瑞安·柯尔,卢克·佩格勒;剧情,传记,历史,战争;8.7;714056;172543
沉默的真相;陈奕甫;廖凡,白宇,谭卓,宁理,黄尧,赵阳,田小洁,王建国,吕晓霖,赵圆瑗,曹卫宇,陆思宇,牛超,何其炜,张垒,赵雷棋,陈维涵;剧情,悬疑,犯罪;9.0;731480;261782
毒液2 Venom: Let There Be Carnage;安迪·瑟金斯;汤姆·哈迪,伍迪·哈里森,米歇尔·威廉姆斯,娜奥米·哈里斯,瑞德·斯科特,斯蒂芬·格拉汉姆,汤姆·赫兰德,里斯·谢尔史密斯,肖恩·德兰尼,佩吉·陆,劳伦斯·斯佩尔曼,杰克·班戴拉,斯克鲁比斯·皮普,阿姆·阿勒卡迪,斯图尔特·亚历山大,克里斯托弗戈德温,格雷戈·洛基特,桑尼·阿什本·瑟金斯,雷切尔·汉德肖,小田部阿基,埃里克·西格蒙德森,何塞‧帕尔马,Rosie Marcel,艾略特·凯博尔,威廉·W·巴伯,埃尔文·费利西达,露丝·霍洛克斯,约翰·洛巴托,迪索·拉莫斯,迈克尔·安德鲁·里德,里克·理查森,安珀·西耶娜,艾蒂安·维克,杰茜·维宁,Michelle Greenidge,Sian Webber,Rob Bowen,Little Simz,Olumide Olorunfemi;动作,科幻,惊悚;5.0;126105;42878
钢铁侠2 Iron Man 2;乔恩·费儒;小罗伯特·唐尼,格温妮斯·帕特洛,米基·洛克,斯嘉丽·约翰逊,山姆·洛克威尔,唐·钱德尔,塞缪尔·杰克逊,乔恩·费儒,保罗·贝坦尼,克拉克·格雷格,凯特·玛拉,约翰·斯拉特里;动作,科幻,冒险;7.7;387926;58204
信条 Tenet;克里斯托弗·诺兰;约翰·大卫·华盛顿,罗伯特·帕丁森,伊丽莎白·德比茨基,肯尼思·布拉纳,亚伦·泰勒-约翰逊,迪宝·卡帕蒂娅,克蕾曼丝·波西,希米什·帕特尔,安德鲁·霍华德,尤里·科洛科利尼科夫,迈克尔·凯恩,马丁·唐文,卡里娜·韦尔瓦,乔纳森·坎普,凯蒂·麦克凯布,贝恩·科拉科,安东尼·莫利纳利,特伦特·布克斯顿,英格丽·玛格斯,瑞奇·切劳洛,劳里·谢泼德,马克·克雷尼克,亚历克斯·威克索,丹兹尔·史密斯,马塞尔·萨巴特;剧情,动作,科幻;7.6;649910;231855
疯狂的外星人;宁浩;黄渤,沈腾,汤姆·派福瑞,马修·莫里森,徐峥,于和伟,雷佳音,刘桦,邓飞,蔡明凯,王戈,凯特·纳尔逊,王砚伟,呲路;喜剧,科幻;6.4;643254;214318
美国队长 Captain America: The First Avenger;乔·庄斯顿;克里斯·埃文斯,海莉·阿特维尔,塞巴斯蒂安·斯坦,汤米·李·琼斯,雨果·维文,多米尼克·库珀,理查德·阿米蒂奇,斯坦利·图齐,塞缪尔·杰克逊,托比·琼斯,尼尔·麦克唐纳,德里克·卢克,肯尼斯·崔,约翰·约瑟夫·菲尔德,娜塔莉·多默尔;动作,科幻,冒险;7.1;341879;68736
指环王3：王者无敌 The Lord of the Rings: The Return of the King;彼得·杰克逊;伊利亚·伍德,西恩·奥斯汀,维果·莫腾森,奥兰多·布鲁姆,伊恩·麦克莱恩,肖恩·宾,多米尼克·莫纳汉,丽芙·泰勒,约翰·贝西,凯特·布兰切特,比利·博伊德,萨德文·布罗菲,阿利斯泰尔·布朗宁,马尔顿·索克斯,伯纳德·希尔,伊安·霍姆,布鲁斯·霍普金斯,Ian Hughes,劳伦斯·马克奥雷,诺埃尔·阿普利比,布雷特·麦肯齐,Alexandra Astin,Sarah McLeod,Maisy McLeod-Riera,约翰·诺贝尔,Paul Norell,米兰达·奥图,布鲁斯·菲利普斯,沙恩·朗吉,约翰·瑞斯-戴维斯,Todd Rippon,安迪·瑟金斯,Harry Sinclair,乔尔·托贝克,卡尔·厄本,史蒂芬·乌瑞,雨果·维文,大卫·文翰,阿兰·霍华德,萨拉·贝克,Robert Pollock,佩特·史密斯,杰德·布罗菲,菲利普·格里夫,布拉德·道里夫,克里斯托弗·李,布鲁斯·斯宾斯,吉诺·阿赛维多,Jarl Benzon,Jørn Benzon,Robert Catto,Michael Elsworth,彼得·杰克逊,Sandro Kopp,安德鲁·莱斯尼,约瑟夫·米卡-亨特,亨利·莫腾森,克雷格·帕克,克里斯蒂安·瑞沃斯,迈克尔·斯曼内科 ,霍华德·肖,约翰·斯蒂芬森,理查德·泰勒;剧情,动作,奇幻,冒险;9.3;719411;103430
心灵奇旅 Soul;彼特·道格特,凯普·鲍尔斯;杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德,阿米尔-卡利布·汤普森,戴维德·迪格斯,格拉汉姆·诺顿,瑞切尔·豪斯,艾莉丝·布拉加,理查德·艾欧阿德,唐尼尔·罗林斯,安吉拉·贝塞特,马戈·霍尔,罗德莎·琼斯,韦斯·斯塔迪,沙基纳·贾弗里,福琼·费姆斯特,卡鲁姆·格兰特,泽诺比娅·谢罗夫,朱恩·斯奎布,凯茜·卡瓦蒂妮,罗纳尔多·德尔·卡门,埃利萨皮·艾萨克,杰森·佩斯,科拉·尚波米耶;动画,音乐,奇幻;8.7;835562;326004
老炮儿;管虎;冯小刚,许晴,张涵予,刘桦,李易峰,吴亦凡,梁静,白举纲,于和伟,连奕名,尚语贤,鲁诺,管宗祥,尹力,余皑磊,宁浩,江珊,张译,郭京飞,张鲁一,赵毅,梁天,张一山,王俊凯,王源,易烊千玺,巴图;剧情,犯罪;7.6;712820;197360
魔道祖师 第三季;熊可;张杰,边江,杨天翔,金弦,郭浩然,苏尚卿,陈张太康,王晨光,邵彤,刘三木,刘琮;剧情,动画,奇幻,古装;8.9;23694;7671
钢铁侠3 Iron Man 3;沙恩·布莱克;小罗伯特·唐尼,盖·皮尔斯,格温妮斯·帕特洛,本·金斯利,唐·钱德尔,保罗·贝坦尼,丽贝卡·豪尔,乔恩·费儒,泰·辛普金斯,威廉姆·赛德勒,詹姆斯·戴尔,伊芳·齐玛,阿什利·汉弥尔顿,王学圻,范冰冰;动作,科幻;7.8;397354;91423
七宗罪 Se7en;大卫·芬奇;摩根·弗里曼,布拉德·皮特,凯文·史派西,格温妮斯·帕特洛,安德鲁·凯文·沃克,约翰·卡西尼,雷格·E·凯蒂,李·厄米;剧情,悬疑,惊悚,犯罪;8.8;859787;137908
天使爱美丽 Le fabuleux destin d'Amélie Poulain;让-皮埃尔·热内;奥黛丽·塔图,马修·卡索维茨,吕菲斯,洛莱拉·克拉沃塔,塞尔·梅林,贾梅尔·杜布兹,克洛蒂尔德·莫莱特,克莱尔·莫里耶,伊莎贝尔·南蒂,多米尼克·皮侬,阿尔蒂斯·德·彭居埃恩,友兰达·梦露,于尔班·康塞利埃,莫里斯·贝尼舒,米歇尔·罗班,安德烈·达芒,克洛德·佩隆,阿尔梅尔,迪基·奥尔加多,凯文·迪亚士,弗洛拉·吉耶,阿莫里·巴博尔,欧仁·贝蒂埃,让·达里,马克·阿米约;剧情,喜剧,爱情;8.7;897678;183239
银河护卫队 Guardians of the Galaxy;詹姆斯·古恩;克里斯·帕拉特,佐伊·索尔达娜,布莱德利·库珀,范·迪塞尔,戴夫·巴蒂斯塔,李·佩斯,迈克尔·鲁克,凯伦·吉兰,杰曼·翰苏,本尼西奥·德尔·托罗,约翰·C·赖利,格伦·克洛斯,劳拉·哈德克,肖恩·古恩,彼得·塞拉菲诺威茨,埃米特·斯坎伦,奥菲利亚·拉维邦德;动作,科幻,冒险;8.1;470388;113012
美国队长3 Captain America: Civil War;安东尼·罗素,乔·罗素;克里斯·埃文斯,小罗伯特·唐尼,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦,安东尼·麦凯,唐·钱德尔,杰瑞米·雷纳,查德维克·博斯曼,保罗·贝坦尼,伊丽莎白·奥尔森,保罗·路德,艾米丽·万凯普,汤姆·赫兰德,丹尼尔·布鲁赫,弗兰克·格里罗,威廉·赫特,马丁·弗瑞曼,霍普·戴维斯,玛丽莎·托梅,吉姆·拉什,金世佳;动作,科幻,冒险;7.9;431003;114413
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers;彼得·杰克逊;伊利亚·伍德,西恩·奥斯汀,多米尼克·莫纳汉,奥兰多·布鲁姆,维果·莫腾森,伊恩·麦克莱恩,凯特·布兰切特,比利·博伊德,杰德·布罗菲,丽芙·泰勒,安迪·瑟金斯,米兰达·奥图,雨果·维文,布拉德·道里夫,卡卢姆·吉廷斯,伯纳德·希尔,布鲁斯·霍普金斯,克里斯托弗·李,纳撒尼尔·利斯,罗宾·马尔科姆,约翰·贝西,萨拉·贝克,克雷格·帕克,布鲁斯·菲利普斯,Robert Pollock,约翰·瑞斯-戴维斯,奥利维亚·田內,卡尔·厄本,史蒂芬·乌瑞,大卫·文翰,菲利普·格里夫,肖恩·宾,约翰·诺贝尔,Jarl Benzon,Jørn Benzon,Ben Britton,阿利斯泰尔·布朗宁,Sean Button,Robert Catto,罗德尼·库克,卡尔洛斯·德林克沃特,西奥沙福瓦,本·弗兰舍姆,Jonathan Harding,Lucas Hayward,丹·汉纳,保罗·霍姆斯,杰森霍德,彼得·杰克逊,Sam Kelly,Sandro Kopp;剧情,动作,奇幻,冒险;9.2;671326;79541
心灵捕手 Good Will Hunting;格斯·范·桑特;马特·达蒙,罗宾·威廉姆斯,本·阿弗莱克,斯特兰·斯卡斯加德,明妮·德里弗,卡西·阿弗莱克,科尔·豪瑟,约翰·迈顿,丹·华盛顿,艾莉森·福兰德,维克·萨海,史蒂文·科兹洛夫斯基,斯科特·威廉姆·文特斯,吉米·弗林,乔治·普林普顿,弗朗切斯科·克莱门特;剧情;8.9;635067;122283
爱在黎明破晓前 Before Sunrise;理查德·林克莱特;伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特,汉诺·波西尔,卡尔·布拉克施魏格尔,特克斯·鲁比诺威茨,埃尔尼·曼戈尔德,多米尼克·卡斯特尔,海蒙·玛丽亚·巴汀格,哈拉尔德·魏格莱因,汉斯·魏因加特纳,彼得·艾利·休默,休伯特·法比安·库尔特勒,约翰·斯洛斯,克里斯蒂安·安科维奇,亚当·戈德堡,保罗·波伊特;剧情,爱情;8.8;586854;157496
妖猫传;陈凯歌;黄轩,染谷将太,张雨绮,秦昊,张榕容,刘昊然,欧豪,张鲁一,阿部宽,田雨,刘佩琦,辛柏青,成泰燊,李淳,秦怡,松坂庆子,张天爱,周中和,火野正平,夏楠,陈旭,王迪,宋运成;剧情,悬疑,奇幻,古装;6.9;678992;255993
国子监来了个女弟子;许珮珊;赵露思,徐开骋,任豪,张月,敖瑞鹏,杜煜;剧情,爱情,古装;3.8;36854;19458
美国队长2 Captain America: The Winter Soldier;安东尼·罗素,乔·罗素;克里斯·埃文斯,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦,安东尼·麦凯,海莉·阿特维尔,艾米丽·万凯普,罗伯特·雷德福,塞缪尔·杰克逊,寇碧·史莫德斯,卡兰·马尔韦,弗兰克·格里罗,斯坦·李,托比·琼斯,珍妮·艾加特,乔治·圣皮埃尔,盖瑞·山德林,阿兰·戴尔,黄经汉,阿德托库姆布斯·麦克马克,多米尼克·瑞恩斯;动作,科幻,冒险;8.0;412472;92636
无问西东;李芳芳;章子怡,黄晓明,张震,王力宏,陈楚生,铁政,祖峰,米雪,王盛德,韩童生,王鑫,郑铮,章泽天,黄梦莹,林美秀,保罗·菲利普·克拉克,胡家华,伊娜,吴谨言,纪帅,王天泽,伍麟凯,都金翰;剧情,爱情,战争;7.5;682596;214232
利刃出鞘 Knives Out;莱恩·约翰逊;丹尼尔·克雷格,安娜·德·阿玛斯,克里斯·埃文斯,杰米·李·柯蒂斯,迈克尔·珊农,唐·约翰逊,托妮·科莱特,勒凯斯·斯坦菲尔德,克里斯托弗·普卢默,凯瑟琳·兰福德,杰登·马泰尔,瑞琪·琳德赫姆,艾迪·帕特森,弗兰克·奥兹,K·卡兰,诺阿·西甘,M·埃梅特·沃尔什,玛琳娜·福特,劳尔·卡斯提洛,雪莉·罗德里格斯,约瑟夫·高登-莱维特,加布里埃尔·洛莱斯;剧情,喜剧,悬疑,犯罪;8.1;729072;203595
火星救援 The Martian;雷德利·斯科特;马特·达蒙,杰西卡·查斯坦,克里斯汀·韦格,杰夫·丹尼尔斯,迈克尔·佩纳,凯特·玛拉,肖恩·宾,塞巴斯蒂安·斯坦,唐纳德·格洛弗,切瓦特·埃加福,阿卡塞尔·亨涅,陈数,高雄,本尼迪克特·王,麦肯兹·戴维斯,娜奥米·斯科特,丽丽·博尔丹,布莱恩·卡斯佩;剧情,科幻,冒险;8.5;637047;149849
惊奇队长 Captain Marvel;安娜·波顿,瑞安·弗雷克;布丽·拉尔森,裘德·洛,塞缪尔·杰克逊,本·门德尔森,安妮特·贝宁,麦肯娜·格瑞丝,克拉克·格雷格,嘉玛·陈,李·佩斯,杰曼·翰苏,拉什纳·林奇,阿基拉·阿克巴,科林·福特,卓库·莫度,肯内特·米歇尔,罗伯特·卡辛斯基,詹姆斯·莫里森,皮特·普劳泽克,马修·马希尔,安东尼·莫利纳利,马修·弗林·贝罗斯,加斯顿·达尔莫,亚当·哈特,马克·多尔蒂,雷尼尔·鲁菲诺,约翰·盖蒂尔,斯坦·李,克里斯·埃文斯,斯嘉丽·约翰逊,马克·鲁弗洛,唐·钱德尔;动作,科幻,冒险;6.8;472467;143089
机智医生生活 第二季 슬기로운 의사생활 시즌2;申元浩;曹政奭,柳演锡,郑敬淏,金大明,田美都,河允庆;剧情;9.5;119086;37374
蚁人 Ant-Man;佩顿·里德;保罗·路德,迈克尔·道格拉斯,伊万杰琳·莉莉,寇瑞·斯托尔,迈克尔·佩纳,大卫·达斯马齐连,朱迪·格雷尔,鲍比·坎纳瓦尔,约翰·斯拉特里,伍德·哈里斯,T.I.,海莉·阿特维尔,瓦内萨·罗斯,马丁·唐文,乔·克里斯特,艾比·莱德·弗特森,安东尼·麦凯,加勒特·莫里斯,尼尔·汉博格,鲁德·哈利特,斯坦·李,克里斯·埃文斯,塞巴斯蒂安·斯坦;动作,科幻,冒险;7.7;410101;86886
超脱 Detachment;托尼·凯耶;艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩,克里斯蒂娜·亨德里克斯,刘玉玲,布莱思·丹纳,蒂姆·布雷克·尼尔森,威廉·彼德森,布莱恩·科兰斯顿,萨米·盖尔,路易斯·佐里奇,小伊塞亚·维特洛克,大卫·豪森,约翰·塞纳迭姆博,西莉亚·奥,罗南·鲁宾斯坦,阿尔·卡尔德隆,布雷南·布朗,里根·利奥纳德,詹姆斯·霍西,乔什·帕斯,瑞内·菲利斯·史密斯,道格·伊·道格,帕特里夏·雷,萨曼萨·罗根,拉尔夫·罗德里格斯;剧情;9.0;485871;138049
周生如故;郭虎;任嘉伦,白鹿,王星越,李宜儒,姚奕辰,周陆啦,苏梦芸,吴曼思,刘威葳,梁爱琪,傅隽,于洋,原若航,张诚航;剧情,爱情,古装;7.1;190117;90573
雷神 Thor;肯尼思·布拉纳;克里斯·海姆斯沃斯,娜塔莉·波特曼,汤姆·希德勒斯顿,安东尼·霍普金斯,斯特兰·斯卡斯加德,凯特·戴琳斯,克拉克·格雷格,科鲁姆·费奥瑞,伊德里斯·艾尔巴,雷·史蒂文森,浅野忠信,乔希·达拉斯,杰米·亚历山大,蕾妮·罗素,艾德里安娜·巴拉扎,马克斯米利亚诺·赫尔南德斯,杰瑞米·雷纳,塞缪尔·杰克逊,达科塔·高尤,泰德·沃普莱斯,斯坦·李;动作,奇幻,冒险;7.1;313174;62392
钢琴家 The Pianist;罗曼·波兰斯基;艾德里安·布洛迪,托马斯·克莱舒曼,艾米莉娅·福克斯,米哈乌·热布罗夫斯基,埃德·斯托帕德,穆琳·利普曼,弗兰克·芬莱,茱莉亚·蕾娜,杰西卡·凯特·梅耶尔,理查德·赖丁斯;剧情,音乐,传记,战争;9.2;533530;99986
拆弹专家2;邱礼涛;刘德华,刘青云,倪妮,谢君豪,姜皓文,吴卓羲,马浴柯,黄德斌,郑子诚,洪天明,袁富华,刘浩龙,凌文龙,赵永洪,蔡瀚亿,张竣杰,张扬;动作,犯罪;7.5;521865;193416
七月与安生;曾国祥;周冬雨,马思纯,李程彬,李萍,蔡纲,蒙亭宜,沙全泽,姚欣言,李昊芳,蒋亭轩;剧情,爱情;7.6;589827;168905
请以你的名字呼唤我 Call Me by Your Name;卢卡·瓜达尼诺;艾米·汉莫,蒂莫西·柴勒梅德,迈克尔·斯图巴,阿蜜拉·卡萨,艾斯特·加瑞尔,维克图瓦尔·杜布瓦,旺妲·卡布里奥罗,安东尼奥·里莫尔迪,埃琳娜·布奇,马可·斯格罗索,安德列‧艾席蒙,彼得·斯皮尔斯;剧情,爱情,同性;8.9;632449;195406
无职转生：到了异世界就拿出真本事 下部 無職転生 ～異世界行ったら本気だす～第2クール;冈本学;内山夕实,加隈亚衣,浪川大辅,小原好美,田中理惠,大塚芳忠,茅野爱衣,杉田智和,森川智之,Lynn,井口裕香,丰口惠美,津田健次郎,河西健吾,小山力也,松本和香子;动画,冒险;5.3;15925;6433
超时空同居;苏伦;雷佳音,佟丽娅,张衣,于和伟,王正佳,陶虹,李念,李光洁,杨玏,范明,徐峥,杨迪,方龄,陈昊;喜剧,爱情,奇幻;6.8;490069;144970
天才枪手 ฉลาดเกมส์โกง;纳塔吾·彭皮里亚;茱蒂蒙·琼查容苏因,查侬·散顶腾古,依莎亚·贺苏汪,披纳若·苏潘平佑,塔内·瓦拉库努娄,莎琳雷特·托马斯,伊戈·米基塔斯,帕辛·宽萨塔彭,萨哈贾克·波斯安吉特,坎嘉娜·维耐潘尼,育塔彭·瓦拉努科洛楚,诺帕瓦特·里基特王;剧情,悬疑,犯罪;8.2;666483;186796
D.P：逃兵追缉令 D.P 개의 날;韩俊熙;丁海寅,具教焕,金成均,孙锡久,元之安,李濬荣,高庚杓,朴柾佑,李雪,玄奉植,申承浩,赵贤哲,洪京,权海骁,李仲玉,金范洙;剧情,动作,犯罪;9.1;61098;18745
琅琊榜;孔笙,李雪;胡歌,刘涛,王凯,陈龙,黄维德,靳东,高鑫,张棪琰,张龄心,王鸥,周奇奇,吴磊,张晓谦,郑毓芝,丁勇岱,王劲松,刘奕君,刘敏涛,程枫,郭晓然,匡牧野,陈丽娜,宁文彤,杨雨婷,谭希和,方晓莉,张哲瀚,钟卫华,张雨剑,乔欣,王永泉,魏伟,王宏,赵一龙,卢杉,刘冠霖,符涛,李帅,单英哲,金丰,冯晖,李朵,刘丕中,言杰,公方敏,隋名旸,韩振华,柳洋,刘殊辰,张震,孙梦佳,隋雨蒙,郭东岳,蒋林燕,张巨明,王勇,张昕琦,张昕瑶,孙小会,苗克,李龙,郝文学,倪土,王侃,王虎城,尹元章,刘朔,杨璐璐,潘小样,季晨,孙荣,李超,许可,周艺华,王诗琪,朱梦瑶,马波,龙德,张林,李斌,王光,刘红星,刘洪超,刘洪源,王堂,葛鸣,聂闻,钱正忠,钱宥宥,王涵,朱勇林,冯晓琴,高鸿涛,沈雪炜,田峰,许占伟,岳俊岭,郑胜利,白玉,仇晓燕,耿黎明,符毅明,徐蕙敏,魏至强,黄子耀,刘刚,陈瑞生,廖崇瑞,李子苏,田猛,李华,鄢佳辉,崔立明,蓝天,张志伟,周金凤,杨永文,黄坤,陈建新,马利群,张荠家;剧情,古装;9.4;663440;222489
快把我哥带走;郑芬芬;张子枫,彭昱畅,赵今麦,孙泽源,周翊然,刘冠毅,姜宏波,徐光宇;喜剧,奇幻;6.8;365994;119282
冰雪奇缘 Frozen;克里斯·巴克,珍妮弗·李;克里斯汀·贝尔,伊迪娜·门泽尔,乔纳森·格罗夫,乔什·加德,圣蒂诺·方塔纳,艾伦·图代克,塞伦·希德,克里斯·威廉姆斯,斯蒂芬·安德森,玛雅·威尔逊,伊迪·麦克勒格,罗伯特·派恩,莫里斯·拉马奇,珍妮弗·李,莉薇·施图本劳赫,伊娃·贝拉,斯宾塞·莱西·加纳斯,泰里·布朗,杰西·科尔蒂,杰夫·马库斯,塔克·吉莫尔,保罗·布里格斯;喜剧,动画,歌舞,奇幻;8.4;633882;152530
捉妖记;许诚毅;白百何,井柏然,姜武,金燕玲,钟汉良,曾志伟,吴君如,汤唯,姚晨,闫妮,保剑锋,王栎鑫,郭晓东,李菁菁,田雨橙,张悦轩;喜剧,奇幻,古装;6.7;491731;131280
