影片名;导演;主演;影片类型;评分;评分人数;短评数
千与千寻 千と千尋の神隠し;宫崎骏;柊瑠美,入野自由,夏木真理,菅原文太,中村彰男,玉井夕海,神木隆之介,内藤刚志,泽口靖子,我修院达也,大泉洋,小林郁夫,上条恒彦,小野武彦;剧情,动画,奇幻;9.4;2023462;380760
怒火·重案 怒火;陈木胜;甄子丹,谢霆锋,秦岚,谭耀文,黄德斌,吴浩康,何珮瑜,杨天宇,汤君慈,麦亨利,喻亢,张文杰,胡子彤,吕良伟,任达华,袁富华,林国斌,卢惠光,陈家乐,张国强;动作,犯罪;7.2;394714;168600
盛夏未来;陈正道;张子枫,吴磊,郝蕾,祖峰,柳小海,刘丹,周铁,宋雨霏,姜来,仵晓迪,尹腾喆,金京,屈刚,马乐,茹天;剧情;7.1;213209;98383
泰坦尼克号 Titanic;詹姆斯·卡梅隆;莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍,格劳瑞亚·斯图尔特,比尔·帕克斯顿,伯纳德·希尔,大卫·沃纳,维克多·加博,乔纳森·海德,苏茜·爱米斯,刘易斯·阿伯内西,尼古拉斯·卡斯柯恩,阿那托利·萨加洛维奇,丹尼·努齐,杰森·贝瑞,伊万·斯图尔特,艾恩·格拉法德,乔纳森·菲利普斯,马克·林赛·查普曼,理查德·格拉翰,保罗·布赖特威尔,艾瑞克·布里登,夏洛特·查顿,博纳德·福克斯,迈克尔·英塞恩,法妮·布雷特,马丁·贾维斯,罗莎琳·艾尔斯,罗切尔·罗斯,乔纳森·伊万斯-琼斯,西蒙·克雷恩,爱德华德·弗莱彻,斯科特·安德森,马丁·伊斯特,克雷格·凯利,格雷戈里·库克,利亚姆·图伊,詹姆斯·兰开斯特,艾尔莎·瑞雯,卢·帕尔特,泰瑞·佛瑞斯塔,凯文·德·拉·诺伊;剧情,爱情,灾难;9.4;1905853;325402
这个杀手不太冷 Léon;吕克·贝松;让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔,迈克尔·巴达鲁科,艾伦·格里尼,伊丽莎白·瑞根,卡尔·马图斯维奇,弗兰克·赛格,麦温,乔治·马丁,罗伯特·拉萨多,亚当·布斯奇,马里奥·托迪斯科,萨米·纳塞利;剧情,动作,犯罪;9.4;2099480;363399
阿甘正传 Forrest Gump;罗伯特·泽米吉斯;汤姆·汉克斯,罗宾·怀特,加里·西尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德,海利·乔·奥斯蒙,迈克尔·康纳·亨弗里斯,哈罗德·G·赫瑟姆,山姆·安德森,伊俄涅·M·特雷奇,彼得·道博森,希博汗·法隆,伊丽莎白·汉克斯,汉娜·豪尔,克里斯托弗·琼斯,罗布·兰德里,杰森·麦克奎尔,桑尼·施罗耶,艾德·戴维斯,丹尼尔C.斯瑞派克,大卫·布里斯宾,德博拉·麦克蒂尔,艾尔·哈林顿,阿非莫·奥米拉,约翰·沃德斯塔德,迈克尔·伯吉斯,埃里克·安德伍德,拜伦·明斯,斯蒂芬·布吉格沃特,约翰·威廉·高尔特,希拉里·沙普兰,伊莎贝尔·罗斯,理查德·达历山德罗,迪克·史迪威,迈克尔-杰斯,杰弗里·布莱克,瓦妮莎·罗斯,迪克·卡维特,马拉·苏查雷特扎,乔·阿拉斯奇,W·本森·泰瑞;剧情,爱情;9.5;1944594;327417
中国医生;刘伟强;张涵予,袁泉,朱亚文,李晨,易烊千玺,欧豪,周也,冯文娟,耿乐,梁大维,小爱,雅玫,杨祺如,叶禾,蒋林燕,梅婷,李沁,张天爱,宋佳,俞飞鸿,倪虹洁,冯绍峰,周笔畅,张颂文,张子枫,佟丽娅,谷嘉诚,刘威,刘佳,赵宁宇,王挺,余皑磊,黄璐,印小天,张嘉倪,释小龙,高戈,刘琳,来喜,万国鹏,王昭,石昊正;剧情,灾难;6.9;220820;90812
哪吒之魔童降世;饺子;吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮,张珈铭,杨卫;剧情,喜剧,动画,奇幻;8.4;1700751;596655
你好，李焕英;贾玲;贾玲,张小斐,沈腾,陈赫,刘佳,丁嘉丽,王琳,杜源,何翯,何欢,韩云云,包文婧,葛珊珊,史策,黄小猫,许君聪,卜钰,刘宏禄,魏翔,孙集斌,张泰维,郭宇鹏,朱天福,王宇,冯巩,乔杉,王小利,宋晓峰,董若溪,曹贺军,赵婷婷,姬晴,郭祥鹏,李一峰,潘斌龙;剧情,喜剧,奇幻;7.7;1260793;498991
摔跤吧！爸爸 Dangal;涅提·蒂瓦里;阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔,阿帕尔夏克提·库拉那,沙克希·坦沃,塞伊拉·沃西,苏哈妮·巴特纳格尔,里特维克·萨霍里,吉里什·库卡尼;剧情,家庭,传记,运动;9.0;1419716;298110
